0.0_0.0,0.0_0.05,0.0_0.1,0.0_0.2,0.0_0.3,0.0_0.4,0.0_0.5,0.0_0.6,0.0_0.7,0.0_0.8,0.0_0.9,0.0_1.0,0.05_0.0,0.05_0.05,0.05_0.1,0.05_0.2,0.05_0.3,0.05_0.4,0.05_0.5,0.05_0.6,0.05_0.7,0.05_0.8,0.05_0.9,0.05_1.0,0.1_0.0,0.1_0.05,0.1_0.1,0.1_0.2,0.1_0.3,0.1_0.4,0.1_0.5,0.1_0.6,0.1_0.7,0.1_0.8,0.1_0.9,0.1_1.0,0.2_0.0,0.2_0.05,0.2_0.1,0.2_0.2,0.2_0.3,0.2_0.4,0.2_0.5,0.2_0.6,0.2_0.7,0.2_0.8,0.2_0.9,0.2_1.0,0.3_0.0,0.3_0.05,0.3_0.1,0.3_0.2,0.3_0.3,0.3_0.4,0.3_0.5,0.3_0.6,0.3_0.7,0.3_0.8,0.3_0.9,0.3_1.0,0.4_0.0,0.4_0.05,0.4_0.1,0.4_0.2,0.4_0.3,0.4_0.4,0.4_0.5,0.4_0.6,0.4_0.7,0.4_0.8,0.4_0.9,0.4_1.0,0.5_0.0,0.5_0.05,0.5_0.1,0.5_0.2,0.5_0.3,0.5_0.4,0.5_0.5,0.5_0.6,0.5_0.7,0.5_0.8,0.5_0.9,0.5_1.0,0.6_0.0,0.6_0.05,0.6_0.1,0.6_0.2,0.6_0.3,0.6_0.4,0.6_0.5,0.6_0.6,0.6_0.7,0.6_0.8,0.6_0.9,0.6_1.0,0.7_0.0,0.7_0.05,0.7_0.1,0.7_0.2,0.7_0.3,0.7_0.4,0.7_0.5,0.7_0.6,0.7_0.7,0.7_0.8,0.7_0.9,0.7_1.0,0.8_0.0,0.8_0.05,0.8_0.1,0.8_0.2,0.8_0.3,0.8_0.4,0.8_0.5,0.8_0.6,0.8_0.7,0.8_0.8,0.8_0.9,0.8_1.0,0.9_0.0,0.9_0.05,0.9_0.1,0.9_0.2,0.9_0.3,0.9_0.4,0.9_0.5,0.9_0.6,0.9_0.7,0.9_0.8,0.9_0.9,0.9_1.0,1.0_0.0,1.0_0.05,1.0_0.1,1.0_0.2,1.0_0.3,1.0_0.4,1.0_0.5,1.0_0.6,1.0_0.7,1.0_0.8,1.0_0.9,1.0_1.0,solar
183337.8277154071,183468.90958083005,183343.50323451895,183368.36725702952,183520.0374173109,183406.74801117484,183437.041118513,183280.63033236022,183287.25827219264,183335.13842166963,183530.29196971294,183438.85832439477,183379.6111095385,183396.4628545632,183342.82487846038,183649.3587258434,183493.86715809064,183482.20973369706,183418.9822061026,183424.97350746908,183485.05983034844,183410.12572593888,183466.50685547234,183303.20268040628,183240.03182227252,183515.03920558878,183316.28116914103,183438.83132103275,183346.1438090361,183543.4599194899,183477.08013740476,183304.1005167574,183518.45553501183,183551.5165027636,183490.18849582376,183520.06257911617,183414.5875273703,183253.37763439753,183385.91190171722,183524.66803107414,183308.21427970356,183356.90656840891,183735.84320295477,183573.043671872,183531.03192855386,183245.6072759373,183403.97457413923,183512.6877111834,183326.01398538947,183339.19752614887,183248.82486267746,183423.96760896448,183586.9027379825,183392.64432531418,183230.98550070677,183161.33626664203,183410.42021467705,183571.30637067973,183375.22664968195,183453.68232954975,183665.5391565932,183518.56094078842,183537.66721665126,183369.67782789562,183349.55736619292,183329.0153843812,183481.0065371338,183532.89671064334,183662.43074446794,183299.4142734405,183121.15167711512,183296.21749116195,183650.55443847002,183402.7656765465,183352.146829994,183333.9010031037,183474.51744010983,183412.70746567214,183472.92242313927,183417.1052241209,183407.475296067,183353.81477688305,183553.9574614307,183573.72981459196,183304.21708102367,183609.76933130153,183366.7529592088,183698.85963971892,183365.07745812033,183364.16721205597,183443.2905746961,183359.5447297079,183329.54016085996,183479.74454296028,183370.58771897477,183390.86789827744,183444.13377659675,183250.8029012609,183245.02582217616,183280.70134271964,183287.82722969732,183608.78390923928,183696.80968303236,183377.68560367386,183385.99224593028,183437.69462003137,183458.56528809396,183523.54901849077,183413.53998100795,183308.54739409464,183516.07387352607,183423.72199552951,183474.02855977748,183470.93903716104,183380.13088339294,183368.1102141374,183422.36525760946,183417.63343370188,183398.34334765607,183408.2055316465,183540.73933109714,183569.65391115844,183463.61073583903,183398.78336915828,183484.39293342302,183434.76399777026,183509.82686105903,183531.29580028343,183482.29501071924,183355.29142479392,183461.01670200255,183327.89119314708,183540.714826149,183269.76224755796,183470.2952869185,183313.26991611073,183471.83325525385,183394.81356811506,183438.81087093122,183581.32426595897,183520.0747414432,183372.4878280278,183295.107726175,183334.97110793443,Adamstown Solar
11278.066365471874,11276.72126780825,11285.6031913946,11271.25891756649,11285.191266405363,11289.149206585316,11292.635288200683,11295.616148024073,11267.574864551554,11281.248198563797,11279.335526455625,11272.647972001881,11281.92963743796,11289.317651661739,11280.443432457603,11275.950588377395,11269.733651080283,11264.654971604563,11272.437137622554,11292.594495211164,11260.759754409584,11284.778626371877,11281.857042703157,11275.722998762638,11286.105991481933,11271.53426560323,11286.594776067297,11273.214085900565,11288.208766844626,11271.30407838728,11285.38634377715,11274.901812840608,11291.066314144891,11284.726317540864,11270.432232761377,11284.602473094283,11285.196282162358,11275.214577505516,11284.446259569913,11279.260215890521,11266.05535352048,11274.610356337396,11268.95328232308,11284.52687235156,11271.842206028976,11286.048437084773,11269.89012146278,11282.069061343687,11286.675406279006,11279.164903127587,11275.56078780081,11281.500526215557,11265.79647498906,11268.093040777601,11287.409091515827,11285.523645231968,11290.781380962597,11280.66364891736,11285.321167245218,11279.52508753503,11291.14373408256,11279.37390982051,11290.509641343933,11288.483482407843,11282.284965429704,11281.70458474503,11278.698388920431,11282.742691274954,11276.915561007638,11287.016647823086,11288.826181695425,11272.121016145651,11286.915561204456,11274.635909366656,11280.838201920986,11282.845992139846,11281.258614837203,11283.722058454057,11278.089904968547,11268.190685716816,11274.893178315517,11278.329478623878,11271.337531816016,11282.801859066074,11269.459370494757,11277.007829764425,11274.2315508511,11300.312079918136,11280.979067865424,11267.114512392822,11279.833633336086,11272.88708397946,11288.430879067042,11277.969855394309,11277.45275528703,11281.087469109954,11278.25737572761,11284.131287185031,11284.832946303268,11278.310421767412,11276.79380154183,11280.208536994485,11274.7947687818,11264.49820597752,11291.999197448338,11273.500745370102,11269.635120330871,11284.846600291987,11290.30496738728,11288.009144998532,11290.487333914838,11266.671339973624,11270.868850530343,11280.696689236605,11280.532947561742,11280.308124031211,11280.053727809998,11271.860836015303,11276.543997104078,11282.033212061231,11288.750385522673,11279.54868554244,11275.587144954785,11275.2427023908,11275.333861627292,11286.153098883808,11283.681517156958,11290.445022544796,11269.52674814386,11283.343014195782,11275.799226588615,11280.486628402161,11280.796300937023,11273.764427414852,11270.344183902851,11277.92190560736,11284.632951185149,11285.438942075207,11280.427866387066,11267.703131238115,11264.543457503612,11277.780664278984,11287.601033474572,11269.91648914372,Agate Solar
67998.82240182598,68021.33827387835,68119.86236054849,68111.06980084603,68037.53430378203,68015.66836300246,68030.31083411395,68088.90128744849,68020.32672360819,68116.93813800057,68051.31475579854,67998.94056634711,68045.05517307973,68039.37563865744,68053.17673048675,68094.07439071359,67943.2802966317,67972.43244993208,68022.59719744981,68009.06499591417,67952.18700880872,68054.60264967316,67987.45028866666,67995.40003226006,68070.59904220019,67992.66224408257,68017.0821879643,67996.98398762688,68002.05706950415,68025.48402431264,68056.23835042653,67936.09011672577,67942.26309654962,68010.04098668283,68058.3961368767,67998.39685186972,68045.64284301938,68052.96135921965,68012.419832314,67959.40116347391,68046.15645909631,68059.13451680217,67986.12736016835,67981.0374044293,68009.59218139929,67976.00191503884,68002.18462883397,67923.99508035244,68115.69049015806,68030.23074022202,68033.14630559032,68069.59470519816,68031.04340021295,68048.06239386695,68116.36548305284,68026.96674518376,68012.24369550179,68065.96553860222,68052.23698188558,67964.7944643847,67994.74188039084,68026.87919796129,67986.80700273867,68016.97909887806,68088.0904868094,68065.36409851635,68005.83866545834,68009.94940733873,68061.23241208559,68037.02489886944,67998.78048589065,68044.58254804308,68034.25282843265,67987.00575077655,68006.09753928872,68048.92283842359,67981.59046505728,68016.59609939907,68003.86258033288,67980.58833341459,67996.98616544715,68023.25631511948,67978.36538370079,67997.99886766639,68009.19221235898,67974.1440310234,67979.67513353105,68000.82162203865,68004.57472176547,68033.61036899802,68026.55060333168,67991.83615108763,67967.98866969791,68035.91968185503,68021.83328910658,68016.63300928325,68037.5017474519,68035.9052940859,68044.08766884523,68051.47489006458,68024.38839022192,68112.15366913435,67971.06087033919,67923.87909011515,68051.87420352925,68051.7598735265,68042.45734938022,67981.38058197653,67947.11191217182,68015.22159554932,68052.3520457724,67994.1562783562,68018.75630514415,67999.22873575776,68008.84519903269,68023.82454639502,67995.0048296794,68078.20800870477,68110.39916284996,68045.97962411649,68002.13980752496,68021.8020257891,68062.48111429103,68079.39907495018,68035.5192650836,68021.66497902347,68009.35730499963,67985.24524715367,67978.97075650185,68026.5182122704,68022.13949421389,68000.63414717642,68090.7740934039,67974.34070276185,68024.12481615851,68035.16528723192,68053.45650317118,68059.01907134775,68086.00310034034,68088.3616224606,68001.82684643574,67995.56210180663,68060.68713853696,68018.53387406537,Angelina Solar
117792.49206708293,117958.19296848243,117840.40761803824,118044.19262783883,118022.79925896252,117902.47994284693,118009.1587470763,117967.98065507427,117985.00282143102,117733.09467750741,117935.2615765324,117960.95854853613,118070.70836812783,117986.38068700972,117928.1963409601,118027.87499790857,117995.68820669079,118030.49020436902,118015.29485344392,117863.48058880122,118134.78478126191,117755.42356871562,118066.69698866861,117917.17411536559,117983.36646320176,118058.14480736626,118058.05312803449,118078.17141411749,117981.94401622268,117864.59808820227,118059.42690491422,117941.64181193206,118033.61410629384,117959.28114109316,117918.21623098277,117888.47923089539,118045.39914472838,117999.91009231651,118069.21441190894,117834.58228501346,117985.36460138833,117910.47474267919,118002.94585968625,117980.7391320918,117884.83853387718,118054.93900287063,118075.1307221427,118062.67776055598,118051.44413775165,118057.81652446768,117944.09505923017,117916.63984389225,117958.85207622414,117848.61785570603,118019.63134043348,117899.32807272827,118084.38034336064,118093.53701361793,117900.48277393523,118020.53543239956,118173.0951337663,118195.34291017556,118058.78757424142,117950.11023481951,117928.22931012318,118041.47908012444,117914.3261354042,118130.93161260028,117956.19253921924,117949.7753192252,117992.86513567016,117969.69942673575,117964.6499812439,118003.37543381359,117831.46190805177,117950.83034687424,118098.02549330205,118020.74054488714,118017.16340582994,118058.79353353602,118025.4606799747,117949.05989843143,117966.56472343011,117943.0073106275,117970.95101601932,117957.07241485994,117859.65251108528,117983.6393983229,118089.45676594939,117933.22546040533,117820.67637066948,118079.21162406886,117979.55278971781,117889.43984711527,118042.79340743825,117949.5421821875,118028.27930449434,117960.5424562838,117900.76437832041,118003.52797120328,118067.35490431667,117875.0963501507,117833.18061009646,117904.30980163641,117845.28054281983,117998.5984544562,118066.9576935049,117902.5382938357,117924.47290431047,117882.56953184032,117965.89845714383,118015.37803752777,118002.30324609113,117991.96870756648,118035.7310137423,117906.1718640031,117961.57875282528,117835.79532279023,118021.70039881105,117882.94600181485,118007.2621430494,118125.0537978203,117932.9723675709,117923.05131529771,117895.13004700244,117929.80273506354,117961.59237534688,118006.83007084858,117957.49490936984,117905.7388310489,117871.10041502547,118014.81523057402,118070.63654536857,117962.35301126885,118056.26253248012,118088.9272268018,117945.64761625657,117979.57552543076,118000.26369435234,117940.33024840501,117954.10448859655,117883.89628964062,118014.47100852209,117948.75894873675,Angelo Solar
38312.325457185805,38305.561643697016,38278.377682809405,38283.99125213805,38344.509409029495,38288.14560826188,38310.90831971949,38346.4521487954,38329.26084839557,38282.43315601047,38306.12121338108,38275.99826900856,38297.481328495465,38300.71252491902,38324.71595425867,38324.428669204724,38315.04629661867,38271.87152792876,38255.223523961526,38318.04874775653,38310.909310700765,38285.658144521316,38310.83684878061,38322.288092560324,38315.32111995673,38329.24843115715,38344.69870050636,38307.75668457581,38324.6095753229,38276.342720012544,38326.92309917184,38304.13954025733,38330.923294836175,38263.99109753337,38317.90098818396,38297.83318169497,38307.54772427715,38306.06853425925,38314.00550449696,38318.55322479143,38316.831142513984,38316.77482931912,38303.976451330906,38291.49494424724,38329.41567929276,38347.62747269891,38292.18350673943,38278.69564832281,38309.244683189696,38303.1078948345,38295.32977637225,38247.76478988072,38276.29972912639,38273.761589295995,38286.66549477098,38291.35827972979,38279.13471968373,38268.46473135287,38302.31093226333,38273.20594700179,38358.20242296063,38301.301034410855,38330.87458857757,38301.98045515459,38313.834742246756,38334.5351576818,38285.12845772492,38314.08335416605,38315.821179628976,38313.785197325305,38317.40357708495,38321.119160271286,38275.34579639788,38328.31683695869,38302.127481604744,38339.97575807868,38331.0209249561,38317.11238329937,38330.48335283569,38294.68972956414,38273.18345601979,38256.7412887802,38366.7183388391,38310.32436347462,38289.736204343186,38309.326409667934,38322.25635616198,38365.72515902778,38289.383132961615,38259.519446550694,38277.828216183436,38309.22108601445,38291.16335246242,38313.335444319,38302.949304687754,38311.726886439385,38265.404052047015,38286.89380993671,38307.99830891837,38277.882024387836,38284.629181136,38303.89759970611,38318.64327857279,38299.941609744805,38297.195017415506,38311.38211564265,38326.0474758317,38327.89341428348,38311.09083208667,38309.72786039623,38345.38327894448,38329.39605316254,38325.29898339521,38292.8520551752,38321.39588634965,38356.38386380468,38257.47499988032,38320.68351178628,38318.98674067803,38301.454854614894,38323.00448918629,38258.26084638175,38319.22712925661,38337.49439508792,38328.671694321914,38318.95338557461,38328.97377242058,38344.715537843054,38283.72045665611,38290.741715554694,38288.8484062401,38298.05352639825,38307.201538082336,38326.94612028639,38346.7513714792,38287.33462491993,38310.52168612453,38332.77726433053,38329.372048623285,38314.25407717012,38260.88155295774,38305.18479329239,38288.119393335,38317.437511721386,Angus Solar
131003.28115168842,131046.87371972455,131093.44505088974,131005.13111163277,130924.56610023566,130995.74982899704,130972.43181928153,131002.53696813098,130781.7132834729,130946.72334752965,130893.65198923719,131074.71189742128,130890.46009487878,130949.944596245,130873.66693277111,131095.38130958218,130824.37440764559,131125.4274386671,130873.36744395667,130836.38634617938,130939.35053194035,131042.65914985738,130976.258014848,131008.39604513292,131068.94848117158,130934.6580188587,131021.76152505461,130855.76320547354,130988.05094433369,131061.91632917653,131012.90203284092,130916.99459940706,131002.38047993169,131146.47310532586,131102.0953189142,130875.40690106865,131105.8933043936,130996.39153768746,131054.0850870708,130885.89235840592,130916.62084083953,130855.15054071149,130996.45084486938,130964.58354198106,130935.80916694917,131063.15870952483,130806.27908938372,130943.53628429436,130882.92273073723,130921.3867264386,130839.54713419378,130895.16701043744,130872.53805691782,130960.1084965306,130942.28752204367,130909.68885101579,130924.02124883291,130798.00251232041,130972.21394714693,130940.04251293364,130941.12845576361,131011.48305486912,131054.16698775525,130817.82516140836,130997.90369722134,131045.47973871951,131055.51240898024,130938.1880901111,131019.03232555953,130899.81733258718,130887.96594807177,130949.17471671461,130902.49415104995,130887.2407883063,130925.11129687952,130898.32051515675,130927.2460416737,131154.89351726524,130908.9176449669,130937.33105215202,130888.09632746887,130952.82294049885,131005.47411890078,130805.37735859814,130869.17788688507,130986.84390559848,131100.41167323955,130786.55041710117,130912.54564602888,130976.57211643207,131057.36549016353,131085.06716445246,130783.17651348785,131000.19045660009,130869.72235020291,131006.74245965629,130938.80151987782,131055.81199109914,130944.9360774455,131148.1875107135,131112.48992284606,131018.55507402022,130989.7255172674,131004.26651050142,130844.13295638816,130974.40251003191,131088.3649237574,130984.36419225845,131043.37063476938,130785.37781688146,130893.38479423359,131045.14114220184,131057.37414204341,130998.56844491046,131027.43497281766,131045.26147206877,130963.45667689462,131117.55876911498,130981.31387094018,131067.85576034126,131005.1018250069,130898.51158650145,130998.06838301735,131026.75714520224,130995.28778671368,130927.40929546097,130934.13743652987,130917.44144208306,131029.91136917133,130927.52583885514,130949.03007084488,130967.226858875,131097.1812948547,131196.52396742752,130957.63282890922,131026.04866293538,130963.23909857223,130906.40893596625,130881.83276822999,131091.707414515,131039.6541301062,131006.79418141214,131104.4563992695,131003.72064931777,Anson Solar
112089.28388353233,111943.43789901343,112074.98729811414,111966.25140216325,112014.02588684668,111938.51775036844,112090.51476538481,112118.58804015035,112061.6710184011,111999.06405527356,111969.3686890642,112144.1856523594,111905.65883170268,112143.45040894841,112132.01734874284,112056.57571409811,111879.76100783,112122.70378522312,111982.97520918208,111917.90096911122,112019.20404257106,112091.01123822799,112046.95887382879,112164.19891649803,112062.87525624907,112088.79366595077,112046.68353089072,112013.8896862684,112026.59134237417,112099.10643172664,112088.70213303424,111964.10429598611,112130.5577437617,112101.87038683501,112078.91898137485,111883.54849141097,112096.73071222851,112048.13695606138,112015.14047925148,111991.686569157,112018.23097109226,112054.59186430591,111970.64701735023,111967.66563290621,112053.50420297598,111981.58520720479,112086.61810731674,112013.57604539463,111996.55905880479,112060.7056486341,112039.77276943544,112071.2956041313,112052.83126914948,112002.94392989235,112067.39052084878,112047.67694666766,112076.65302411068,111953.49752219826,111967.5314598561,111962.2201186017,111985.08321156002,112049.04647688032,112141.4392971015,112012.73846354635,112022.39955725062,111986.67740904899,112034.53387239139,111939.94296461414,112114.59599554104,112160.24808472303,112051.7774094133,111934.92927766152,111981.86580631125,111862.58416260063,112179.40023808791,111979.8634408509,112079.94854770899,112105.17103758118,111943.4401185442,111953.65743463387,111997.58163351586,112052.24776251015,112061.11010804873,111939.20101362522,112049.2072410322,112194.94473164552,112070.35407584246,111905.4485839305,111983.82977082866,112058.32905185678,112102.59635453612,112168.81645533383,111918.17198589853,111951.43466433509,112094.46358838219,111981.32381070867,112041.16594986599,112115.830616395,112040.45786909983,111987.05130084557,112098.84177179636,112131.97795638042,112086.8333939326,112015.48204810171,112072.09789482804,112066.47599382387,112053.82750879435,112116.61805777387,112071.38358302398,112037.16484103606,112014.50281605664,112037.16245302832,112006.97996226673,112006.04314074072,112021.0160206216,112057.26560175199,112125.73534775349,112050.00448034047,111940.78686725213,112101.1098484733,112045.5050735093,111993.33880653893,112104.95710793536,111941.50707620468,112027.4421369201,112065.50912394449,111969.18256241112,111995.50854698177,112138.48289370858,112019.24967931552,111988.33936559793,111961.57449453864,112183.01223132566,112012.94884047519,111970.27595924777,112031.75724438013,112078.00377413824,112084.65698085306,111928.52171096629,112068.28769986218,112022.59454698517,111996.22406569518,111952.44801524022,111986.94241098996,"Anson Solar Center, Phase II"
137937.57631063592,137770.18089176272,137775.80862690028,137776.91076866275,137807.0765134611,137857.98510169136,137917.48567672525,137891.91420365867,137701.03064606577,137761.2934213128,137852.12095936615,137888.83968640817,137737.37550450925,138027.91300337916,137939.0460866163,137876.80252417494,137800.29276775182,137842.89002330782,137749.77310582905,137771.02796237593,137817.53283723732,137702.01818774905,137827.9293111267,137865.71894514412,137851.58872859526,137739.66154930354,138036.9893371904,137723.0268088176,137925.1491124174,137793.8355884892,137826.45856843784,137763.22089321737,137675.15165066067,137876.95541425454,137704.43195520638,137646.06321237504,137739.88730080784,137837.57073588046,137872.86131655416,137622.96578105545,137920.9912106438,137771.89667392825,137619.1591223649,137895.2532619263,137837.97600122093,137886.05888487544,137812.7489972212,137646.3642530078,137746.74553584502,137752.91412086692,137741.35277198858,137783.11366769034,137857.8081669674,137648.01971635834,137863.7806622802,137635.50651143136,137727.85746767648,137838.17645513796,137894.17235529525,137844.56601764972,137861.59190172658,137762.09663963332,137889.11099594153,137733.62053885247,137780.5240146457,137874.34102632495,137819.76694724057,137636.50652470937,137815.96758287062,137758.59278831308,137857.55518352592,137802.30732026964,137854.6368110254,137696.4307635833,137668.7328316182,137843.48257120018,137905.47188606235,137877.44698902726,137783.7142885029,137728.40973944234,137744.75458359325,137907.98128725187,137882.80524755258,137621.8668944855,137653.98331734297,137874.49829163897,137890.47735244117,137711.50360100777,137835.66411513268,137789.6927476985,137794.57598006798,137913.4953593706,137742.19743291356,137816.9949817022,137827.67339733435,137819.89995087072,137849.94331751287,137558.78365920394,137675.0690030909,137858.91331261885,137865.45367150576,137817.20426296428,137754.1385458461,137712.32739153146,137716.65008838737,137813.61726214705,137930.05426942423,137887.3820032509,137799.15049826403,137924.9180126317,137827.2682349015,137822.65755944833,137718.3036945946,137787.29503457295,137690.61778935822,137782.38786290778,137896.86451899246,137704.19097589093,137982.25690913215,137788.47968009624,137794.1344455778,137783.66721861612,137785.97961004346,137868.4944516099,137719.6363257961,137650.90182052416,137792.0789369408,137547.2275926334,137844.59758853223,137880.7816965887,137813.6148489968,137737.13697458207,137755.2198601863,137806.00877718235,137894.33650801828,137920.16111978728,137813.24791419384,137775.39727419312,137628.51759609347,137817.74384665757,137830.15093289633,137754.31526619563,137809.87231428758,137701.5578266681,"Anson Solar Center, Phase III"
128589.98471071765,128590.24255517022,128471.32357912454,128389.32566361003,128504.52384948172,128486.40296592009,128614.22789540561,128488.49034874007,128522.24594123007,128600.79354578526,128491.25825091616,128411.15642656443,128355.98285072332,128394.53639210932,128459.66230994512,128493.9974768647,128565.5669663241,128393.45199194486,128548.36941829047,128433.7212890232,128439.9073733151,128499.91996376973,128562.50933666076,128409.81497568643,128444.5166450949,128595.28028945644,128446.86648695731,128442.63241657054,128573.66280522403,128502.51692622041,128495.73487150737,128479.39364995042,128315.86069188367,128524.5549626056,128531.69258714511,128442.84850583275,128495.96668234086,128399.25109958244,128293.2766011626,128610.09085678685,128402.0283197919,128458.49030700646,128382.97374867408,128552.32395770852,128414.25129319442,128476.49102739991,128388.54513494557,128418.66178019361,128373.59107808892,128419.70388240657,128499.33661570367,128577.77704106778,128443.60972096326,128515.32634695274,128450.08654450777,128404.90426469056,128477.84609921766,128532.07040902361,128483.80688473034,128525.19456222812,128500.34786488024,128286.96375101224,128346.1660226513,128445.23970668418,128580.26555488339,128492.71279905566,128581.7364345431,128533.19771390615,128466.97143676817,128380.39783436249,128481.41017255968,128515.86235141564,128435.74537103079,128587.5397078122,128276.38739076737,128492.31532289297,128496.39732078301,128362.5758685412,128439.68266894427,128380.06513167472,128444.03512848665,128473.72270851218,128583.39661880201,128502.14117199682,128378.47065002735,128472.78193029502,128455.20843270743,128447.3073472619,128403.58674189963,128440.61178344513,128401.87798081535,128598.93967282353,128554.42113053254,128408.0462146486,128402.77816787713,128554.2463714487,128512.90959539203,128578.2075029986,128454.94456393951,128499.64059634632,128391.4764977574,128474.67070783078,128527.24850692863,128350.1289544862,128435.2838029394,128522.86987239323,128530.73879594,128442.68214140808,128421.65364092618,128453.03866901084,128509.04041334118,128511.63764686062,128526.18128141301,128526.06211724729,128387.17223926159,128440.92437001859,128374.51793663375,128569.44212763968,128403.35912192463,128407.09076939554,128450.06906023911,128472.99751813046,128413.57813418836,128491.93288928771,128328.40984343084,128363.6207614634,128524.42787300446,128362.76707854492,128380.6268929071,128513.75504439889,128526.2148827278,128432.81905127857,128363.88516414481,128461.3599577971,128440.57533375574,128431.25556309172,128401.58161806647,128444.13013998889,128385.78409385975,128361.07652503712,128506.28756034785,128486.7737455177,128325.26862881347,128476.90848830612,Aragorn Solar
240073.9215079405,239852.20274507598,240185.49990825582,240078.42514166894,240104.10049626124,240324.07596137753,240134.7439059058,240309.44501218508,240259.32106513495,240235.18817696843,240139.81321482462,240156.48462531753,239914.3339063605,240202.99949290176,240161.9388369379,240411.91535838318,239927.28283575256,240371.622281945,240448.557482964,240231.69441256128,240138.69795420775,240003.81891693245,240154.43283809282,240171.06618186933,240286.03753352404,240124.84918509197,240007.30406623127,240077.12017731438,239960.7111658885,240229.08170242558,240069.78684322676,240098.94748327174,240251.66133661708,239962.14805927122,240214.00923116063,240250.80219465602,240373.06708640422,239947.6908610992,240174.01494807997,239987.7386629719,240229.4158243608,240119.2873586642,240130.30689912784,240082.62935199504,240138.2182288417,240166.50934837628,240015.01518994488,240373.40804158722,240444.133259502,240121.26488947085,240179.68781373688,240293.32249717382,239875.9179276485,240212.5555580077,240380.49386578207,240020.662793249,240158.37542870053,240228.75840494275,240274.8049810763,240287.60674487698,240456.35857099082,240166.73062513137,240053.77693506778,239997.25387630877,240236.5690748898,240203.8161456832,240207.88646202857,240182.8216049533,240338.3335828588,240044.16959115275,240188.49407958874,240172.79165488112,240073.84451737473,240299.5200224328,240321.3041051901,240167.66166320685,239906.5989127897,240200.6323834337,240229.47983536727,240058.9245144923,239960.83856534967,240001.32377381445,240498.75320228247,240251.01531277335,240105.8026253834,240214.06131591572,240089.68894565708,240224.32954500255,240232.86373372926,240179.12862675972,239992.19447205067,240209.23797266986,240191.5034247126,240025.15108101672,240190.0566611545,240486.2593770502,240013.60601572442,240016.1599155559,240029.83942276821,240176.61440334778,240299.0011647982,240142.82246516156,240351.45503629782,239881.50088479143,240228.27067196826,239990.5155329993,240052.93367142123,240038.21365681032,239947.99762979228,240456.69431223418,240074.0821115955,240320.1491920931,240148.21557827436,240228.71941709585,240326.51174405726,240082.04402729808,240222.89695064366,240188.3763656494,240448.57838204264,240336.56654192705,240149.61325572152,240055.47013884925,240373.8235939565,240031.22997375406,240284.6048278756,240268.43318444683,240259.35871686583,239989.6467657528,240016.52698197882,239896.34439723534,240264.85036873468,240091.86482272684,240192.13160074546,239919.3353624918,240035.8805934302,240207.695791114,240010.93520095648,240133.8450658507,240008.33202211658,240175.47733823728,240313.5732841651,240514.71351374834,240222.03166646516,240367.16120485013,Arroyo Del Bisonte Solar
