ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,solar
184337.5258065863,184215.59901163194,184433.75704635863,184224.25658749038,184597.5014711032,151065.9379002168,184383.17871322806,184059.1861312851,184239.57546554893,Adamstown Solar
11354.52376230448,11358.721491720255,11342.41721781238,11353.697979005634,11360.600357069146,11532.83282062444,11369.228577880574,11362.804404456754,11355.661495829652,Agate Solar
68276.3807266265,68317.00302510265,68248.95692559205,68389.21823511142,68318.19078868686,63235.05284017342,68330.11696707031,68299.18006790626,68164.46626784127,Angelina Solar
119003.30756657047,118822.48986691385,118755.36534390974,118989.83715891842,118897.93859701784,121954.96021127563,118925.32422448003,118906.03152144224,118761.12405252703,Angelo Solar
38489.83645568146,38481.271949074966,38442.29163673102,38496.069754203636,38437.32614481154,43348.28786681135,38502.8009231063,38480.40223384571,38465.044685253764,Angus Solar
132048.55757310288,131971.56608019018,131901.25861701035,131910.39446318516,131847.48173943945,120498.86248371996,131863.64395112463,131800.14858344544,131914.57259165111,Anson Solar
112915.41955231965,112803.5044156182,112713.96172900194,112747.31509209418,112763.50039217707,103990.37916737469,112821.26685683923,112719.62029800913,112913.55451068327,"Anson Solar Center, Phase II"
138670.02238979144,138723.68667611497,138728.26672361643,138618.8931858711,138743.49230528157,127715.93841974974,138628.70950644405,138549.84219643206,138661.2963700717,"Anson Solar Center, Phase III"
129088.13770305837,129016.92390843354,129165.84823419295,128886.39259179398,129015.67797577921,103851.74315898701,129165.95678190798,128943.4196021493,129030.64568907187,Aragorn Solar
241471.2069991701,241247.57799620973,241384.0700531322,241247.43569709483,241485.8646444458,223636.5477642663,241485.25453566536,241240.864386465,241363.92708116578,Arroyo Del Bisonte Solar
96691.38781782673,96701.91158983532,96878.36071051528,96820.85329374096,96774.8368359868,98017.37680401502,96641.20980923151,96726.2508991011,96838.3303174439,Arroyo Solar
48562.92906206634,48573.61408877083,48584.555226128905,48541.3622122015,48546.33517992067,51506.78604881766,48599.408767230154,48577.82951962353,48592.36857330791,Atascosa I Solar
112837.02885634983,112842.41836250247,112904.85278073094,112912.09181639706,112956.56736405705,89606.36873315263,112769.81735279472,112883.49461433945,112883.74737084426,Bacon Switch Solar
1637.9088183445756,1637.6768009644477,1634.8306689471412,1637.0537517876155,1637.9728070830952,1668.308053281879,1638.2600671216908,1636.1079619039792,1638.6989448892764,Basalt Solar
102486.33766049726,102591.01952640289,102520.72544186292,102500.93156392462,102434.01876063996,96189.71934312263,102478.63772109347,102476.34918005428,102575.38697185963,Bestla Solar
69172.05424345468,69206.1658042327,69176.29106152919,69248.64307492567,69233.3254165865,61060.28919518207,69160.02644126404,69143.64764465006,69209.12906124337,Blackwater Draw Solar
30866.597924427082,30888.63087052411,30866.836771221868,30893.84226590335,30870.29601473607,30040.31573048099,30895.245482794875,30891.038523129006,30844.33926609471,Blue Bell Solar II
117765.37824993642,117842.02934658667,117682.06747616337,117794.8316686424,117752.22556484064,117713.02887086887,117842.89975315574,117746.45342599171,117726.33251181695,Blue Jay Solar 
2946.559621184904,2949.985891275224,2947.5299997965385,2949.687367110901,2945.633935425851,2915.091766550513,2950.3223057751006,2951.5954490197905,2947.130176752106,BlueBell Solar
