ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,date
5911187.0640130555,5902131.185623636,5917650.908231305,5875421.31126071,5853459.611763395,5904969.7148581855,5867687.01035385,5881967.733995911,5794771.737774908,2020-01-01
7253843.502995027,7289741.390840895,7326154.219809003,7339633.600744654,7329516.225712697,7286234.403282668,7336306.124377463,7268846.619654076,7335355.715263564,2020-01-02
10136038.313315703,10187677.275543042,10148701.162755005,10135721.234652799,10168980.831463814,10120498.311094567,10190490.767018013,10151650.842529355,10238024.051456641,2020-01-03
4840658.742346119,4870151.30815721,4886724.974497881,4819649.329437627,4804861.402366635,4828942.4220593395,4882691.405658269,4834447.373318498,4831519.1006932445,2020-01-04
9874061.212520437,9890927.144859983,9823843.139132239,9901391.744505476,9919338.669648558,9868175.30900412,9890707.865203105,9922416.798966914,9843178.642894292,2020-01-05
3492617.3449097676,3445165.781911289,3459258.1682958044,3476921.232605119,3408082.505591085,3476659.5133312363,3454567.0008736486,3445226.2014272413,3546473.6970223347,2020-01-06
2057842.0574542996,2064603.2597498407,2054613.3537766056,2045960.5016213204,2088745.7728741788,2050549.6762630888,2026038.939614078,2055362.8906287956,2085493.0317089274,2020-01-07
5048033.505206445,5005212.347595495,5068707.986133642,4995846.696880854,5006967.239564065,5048123.661984308,5094916.271774328,4986783.590297435,4988550.474002137,2020-01-08
3830015.049192556,3850982.9585102946,3813944.9875436528,3823878.590774711,3839098.553152634,3847578.495621315,3828376.5406118226,3831664.863619357,3832040.7279231404,2020-01-09
4417540.901820993,4486764.511644378,4444309.997514063,4495332.712718303,4415014.565236589,4469932.618004894,4444730.623975024,4492724.599871452,4510525.293797214,2020-01-10
3910639.4864530656,3871782.8465940133,3913857.461731093,3926606.539279376,3945804.811748361,3897007.056019955,3959153.553210581,3905076.5898660664,3940858.1165269995,2020-01-11
6172281.94521557,6076472.985551609,6092671.30383025,5958291.30975029,6130242.725478636,5994453.111690117,6116389.877878066,6102288.559424156,6070053.301826924,2020-01-12
3954300.37323986,4032398.7094980823,3938914.1891685603,4062408.2611706625,4076380.5252971007,4016755.6848342307,3989471.2122690333,4013470.797610461,4030467.748300804,2020-01-13
9350255.5315161,9279280.009455567,9267172.673032468,9409704.610938601,9336348.289041396,9396252.632365089,9400192.85173007,9354571.815270787,9379925.851631178,2020-01-14
9544977.939424502,9487035.507611576,9556993.696431529,9580112.076202821,9658645.28016395,9648373.825626224,9539919.07207283,9632780.762033682,9666681.860971803,2020-01-15
5648276.661442825,5652868.401062342,5546595.779125196,5629854.479945064,5599031.036720831,5595372.628637347,5597267.174443036,5613717.106718711,5631675.067216365,2020-01-16
2022820.1696336924,2078021.8803296157,2031249.5044754432,2040017.9787498321,2031561.9173270673,2011399.1829838092,2086173.5916428128,2036389.1817504491,2028865.676368344,2020-01-17
2406148.5230029277,2388718.553062062,2461677.090014059,2454908.6067198487,2408784.4224472223,2396703.3202967998,2472039.5659652143,2436247.611402276,2428032.926173017,2020-01-18
3232911.7213039566,3229099.9332519933,3230061.160838804,3246385.789045012,3254284.26208686,3211798.9287027204,3191778.328661124,3230816.1580282063,3201367.5086013377,2020-01-19
2376425.06318902,2374977.733387145,2348345.9931723815,2390165.3455508025,2453450.230886126,2399490.751059006,2377119.1802610755,2371331.001582192,2384871.057676392,2020-01-20
2824559.360509212,2781619.909137437,2785818.5612723324,2780961.4958240185,2756405.251301227,2766998.7731430456,2754249.6628744635,2710019.787010462,2766163.815568721,2020-01-21
5573777.929853401,5444360.235813414,5414577.976785545,5435242.058745467,5503159.926313037,5398087.353179596,5506956.167476538,5472469.467442798,5482652.95379357,2020-01-22
5907400.75898714,5876318.855610717,5957087.9014547095,5964284.454949792,6013611.527732666,6041848.395839274,5955237.25776965,5902633.40281092,5916048.8079500515,2020-01-23
5245168.783534492,5125911.293730586,5253252.4848472355,5277017.585316689,5299724.186783654,5187572.465025473,5275274.72635191,5268785.726519086,5293316.042998586,2020-01-24
2847379.825223122,2917467.3633228443,2881343.160319215,2892213.7635979177,2893056.2769614253,2894811.9676696733,2934712.651406652,2865277.549215695,2936218.2656288254,2020-01-25
4190782.38902401,4114752.117425485,4210573.748292089,4166778.432016967,4116849.513090858,4141075.4294855027,4221471.911832618,4137398.312946723,4153861.9364173524,2020-01-26
1206516.5442240173,1258483.0837443466,1237752.961271994,1263455.6535481687,1209717.1852709167,1238644.9852394362,1298247.872669151,1257666.437001175,1216418.0132283645,2020-01-27
5341061.890171323,5410072.770878691,5329716.146494951,5370724.170136142,5339911.1159218,5425075.483258974,5392179.494675536,5416617.772035753,5427356.461599018,2020-01-28
1891008.162848982,1910779.5934020875,1874508.5332110703,1856463.855727652,1914176.7307132673,1932519.80334386,1890665.669758618,1912920.9354896196,1867175.460497572,2020-01-29
5985177.64038685,5996982.299891584,6014184.165229376,6004529.763734711,5980592.379532671,5986706.030267475,5990953.282473303,5963518.630717643,6038094.970946111,2020-01-30
8179459.07278153,8182978.152542148,8132294.480975264,8207732.750557495,8243678.85032681,8204838.242427332,8196027.380273424,8206660.923211244,8182061.477005166,2020-01-31
13264788.028553534,13444628.648796719,13115689.264124304,13364858.185975194,13160380.967011806,13295378.807470988,13186051.980362471,13262284.247317474,13304416.601646777,2020-02-01
11709932.450554347,11743300.70234183,11791722.139265284,11624040.295557437,11726378.913739936,11688959.761595964,11633742.156701425,11624800.557716267,11735134.906440716,2020-02-02
5893500.558199152,5912882.747475306,5958077.66231266,6011313.798906775,5902417.480586249,5921168.5044876635,5950901.820336927,5898077.3876976995,5982008.383570257,2020-02-03
2554634.4235989675,2569557.6845037513,2566436.6262906385,2578131.0350375287,2555973.4276016406,2612426.7262218115,2580866.3034409424,2546553.465919026,2571599.191625653,2020-02-04
3773163.648855682,3663616.9718727656,3648364.7566149514,3656928.48109846,3648153.259023185,3709513.006167273,3675715.888583363,3702768.459613558,3643728.3062134776,2020-02-05
2787872.6511213067,2732415.0036680996,2665729.5558025325,2729651.058014926,2715804.5931120627,2657698.915843217,2760413.409348003,2732803.514441125,2681066.9642069684,2020-02-06
4351920.000822565,4180099.121768552,4159085.078324418,4190957.1687772237,4313004.427088404,4270231.793371361,4144305.2229317985,4291444.761174295,4231686.737473817,2020-02-07
976269.1476040795,1013520.4630591506,984612.5117966153,1016074.1583762558,992741.7091109983,1019033.6931692386,1007645.213632196,967346.9077619724,991507.7009233321,2020-02-08
814128.7845120442,809409.2472484382,820180.6821276211,815210.9344473903,791247.0747818218,802828.4841035274,821574.7269928621,792607.9442759429,803923.4845839625,2020-02-09
7007806.138733909,7115045.204434421,7153400.05329967,7110442.731617549,7060614.832463108,7070496.877171018,7102683.619798682,7017777.235313995,7031460.005825924,2020-02-10
2596488.4433133695,2618261.7786839833,2630984.352355604,2614490.290998375,2570853.446577901,2594667.942965192,2651624.598433951,2604545.471460056,2622246.620544728,2020-02-11
1948552.7092576458,1962453.2861989017,2019329.7882276545,1957114.9493724543,1979705.653237798,2001726.4603103753,1939491.9426494823,1969450.1357675747,1964056.4482581308,2020-02-12
7201891.118837961,7147946.995604049,7099116.216389604,7202914.403021837,7268396.409616793,7267834.699335537,7152075.118198322,7102688.0041902475,7160484.305368269,2020-02-13
3316089.203047496,3344188.1929240935,3293661.693297957,3365683.8586862907,3342267.6152755506,3233348.252894313,3293070.556106912,3207907.7759983228,3255021.1936731925,2020-02-14
1610041.3565260286,1621729.1994955628,1636679.7395019722,1577030.1442469815,1603905.2078945192,1610012.1802171022,1660204.104488496,1628529.619851355,1590790.451332251,2020-02-15
3222738.185297627,3263498.83288539,3239742.7685999167,3223645.838127654,3259314.007978612,3252180.7023422685,3236303.780651112,3280372.060916514,3244556.7585806767,2020-02-16
2400902.5285698646,2444329.621662458,2457515.564101761,2412296.0715117026,2376149.6152825854,2431028.6954672895,2388422.7516239854,2398133.261973096,2406632.0692089526,2020-02-17
9479626.510586064,9597506.432446163,9494762.746585729,9454843.927895335,9465725.199668357,9396155.60087436,9420122.24651179,9453157.822151288,9442915.843390806,2020-02-18
2776393.84640503,2743569.748257564,2785193.5357228317,2759554.201932713,2794977.003738066,2777120.97947285,2775940.457810691,2739772.846809564,2782993.717318724,2020-02-19
6681136.50436724,6637426.308476575,6481653.779279257,6518448.86336086,6598591.749643467,6567897.391580699,6654438.402938616,6635990.565422922,6642150.184693741,2020-02-20
8799472.643843707,8823016.549615514,8806398.044222329,8949223.297212394,8910093.58529599,8912063.2887087,8862058.422919217,8828398.410909982,8859660.381296452,2020-02-21
1132617.863771937,1124852.4792912328,1118527.5988140653,1127014.7597342797,1087162.3791632522,1143140.745000113,1147011.818719423,1113802.9756912529,1105032.6518663552,2020-02-22
12189344.327838995,12203100.931806434,12160078.716836162,12173419.019298356,12186783.728977166,12169982.013255585,12161207.249678785,12220089.73237636,12228932.51973542,2020-02-23
11711107.71491998,11688852.517857444,11623356.902481355,11733367.142058903,11681042.15245984,11640362.005193507,11670359.435833475,11711126.943481242,11637810.421011813,2020-02-24
7401983.133277379,7370117.711078056,7347792.698531826,7364961.949513045,7335711.73538093,7320733.396286442,7396383.249799832,7377500.642894372,7336097.159129009,2020-02-25
3052258.2722846465,3054808.4026406286,3029282.1873960076,3044941.2554517575,3143125.0872792937,3133461.0266606743,3099219.560718965,3140297.383252213,3154162.7278541056,2020-02-26
47946807.622743845,47897452.43718695,47889483.240354955,47951815.065873995,47953666.92791309,48176314.35541111,48148023.30942537,47845358.887495115,47657103.60749314,2020-02-27
14696633.216628183,14654304.906598888,14743839.211324388,14822159.575618163,14787318.243693803,14779162.743299345,14670009.74448648,14708650.222351674,14688132.570887294,2020-02-28
3134107.8006363427,3068001.2110094177,3186620.298071828,3134852.662703571,3165432.0043557603,3078334.956877564,3086046.5250543114,3106343.263458345,3142945.9520123363,2020-02-29
12188405.63385981,12192623.002661109,12080250.510063322,12212328.698006954,12248002.879296893,12275938.12409435,12161722.577054169,12219808.29895616,12215978.626956958,2020-03-01
11729104.248533621,11674973.339814149,11735566.898323882,11635119.319094835,11699480.035349844,11677744.16439461,11730893.966867836,11760650.623263152,11785955.061095467,2020-03-02
7397457.2739989795,7361726.560030716,7396918.402777942,7262363.942351613,7352284.950117502,7370554.080796678,7348950.720197422,7357560.404176483,7351220.91062594,2020-03-03
3038018.4679587632,3106563.385940221,3071269.577113341,3086232.6955737947,3115942.526272402,3095091.611180516,3123494.9851345266,3099771.4917326514,3069583.740339094,2020-03-04
47884188.482369274,47956224.66328072,48169199.47123279,47911734.44935458,47984185.44386563,48139233.88574262,47641526.05790509,48024638.71482434,48032118.99709433,2020-03-05
14716397.605578255,14684298.712319199,14892153.405003855,14685675.637227168,14667271.934628543,14701648.812137801,14829584.226557322,14698470.83699897,14828479.172600375,2020-03-06
3115093.0070488285,3136809.302179884,3158788.034979289,3127313.407718017,3129566.8765029875,3155181.9143498056,3148869.9662982374,3142483.9904059456,3151754.735634201,2020-03-07
3489148.7122059707,3458952.505190894,3498508.8204332474,3492483.649908443,3501999.0443873173,3496956.5821215496,3453312.0213102694,3486333.0692066033,3504687.408091343,2020-03-08
5767305.505442468,5734237.49895593,5681881.102347511,5694088.041625055,5710202.035319759,5673640.397670105,5720644.6045944095,5684948.319564089,5730639.929472154,2020-03-09
4197467.162518938,4254932.571048431,4156438.3595435764,4296761.498547526,4185131.882460528,4209819.154113121,4133143.6475237897,4215141.26633811,4265999.421406323,2020-03-10
3027763.8411988257,3012565.439085715,2956329.447451738,2991834.6084699994,2944087.698906692,2955797.9501428986,2926073.5146985785,2940967.6042042137,2950599.978687365,2020-03-11
3309683.2699255366,3257914.2809083834,3335760.343082471,3254187.594067081,3326622.9253487755,3240938.468541285,3200353.716418989,3137748.721278707,3242171.8616226693,2020-03-12
1495774.2849577572,1531489.8224723684,1551316.3753755821,1483186.823518113,1494959.7655339977,1494527.476978873,1561899.1277927584,1502083.0102084572,1530051.822900298,2020-03-13
1029977.038244408,1013482.235129764,992900.3436132283,1018747.9281961861,1003670.8232564491,1013546.7724667415,1027793.2926057362,1003431.9137486104,1040130.0993201665,2020-03-14
5194920.529777331,5256802.261848106,5267002.187033208,5311675.815009077,5239222.673162393,5273337.177878883,5242730.708439937,5217887.576765586,5276095.3371228,2020-03-15
12856754.318460127,12738078.331810344,12775453.504614284,12837667.064107737,12830588.291639753,12777740.739868645,12779568.447298355,12880255.670900956,12816040.746492587,2020-03-16
